"Currency Code","Currency Name","Amount of currency","Path for best conversion rate"
"ADA","Cardano",36.99921974760452,"CAD | BTC | NANO | ADA"
"ALGO","Alogorand",43.11528758162883,"CAD | BTC | NANO | ADA | ALGO"
"ARS","Argentina Peso",7830.835002451087,"CAD | BRL | ARS"
"AUD","Australia Dollar",108.09858549640211,"CAD | EUR | AUD"
"BAN","Banano",9052.242161048274,"CAD | BTC | BAN"
"BBD","Barbados Dollar",0,""
"BCH","BitcoinCash",0.16503508468593717,"CAD | BTC | NANO | ADA | ALGO | BCH"
"BRL","Brazil Real",413.0050925620395,"CAD | BRL"
"BTC","Bitcoin",0.0018156310824226291,"CAD | BTC"
"BZD","Belize Dollar",160.46218616409732,"CAD | EUR | BZD"
"CHF","Switzerland Franc",77.35442185453509,"CAD | EUR | GBP | NOK | SEK | CHF"
"CNY","China Yuan/Renminbi",515.4380269373958,"CAD | USD | CNY"
"DOGE","Dogecoin",368.61882538098814,"CAD | BTC | NANO | DOGE"
"DZD","Algeria Dinar",11054.245839644518,"CAD | EUR | GBP | LRD | DZD"
"ETH","Ethereum",0.02594783607008514,"CAD | BTC | ETH"
"EUR","Euro",67.1958895759016,"CAD | EUR"
"GBP","Great Britain Pound",57.529593365292676,"CAD | EUR | GBP"
"HKD","Hong Kong Dollar",628.264508210768,"CAD | USD | CNY | HKD"
"INR","India Rupee",5989.363890013704,"CAD | USD | CNY | HKD | INR"
"JPY","Japan Yen",8799.705407958005,"CAD | USD | JPY"
"KRW","South Korea Won",96007.16386127687,"CAD | USD | CNY | HKD | PHP | KRW"
"KYD","Cayman Islands Dollar",0,""
"LBP","Lebanon Pound",121262.88381237611,"CAD | EUR | GBP | LBP"
"LRD","Liberia Dollar",13758.951805192411,"CAD | EUR | GBP | LRD"
"LTC","Litecoin",0.490081962922437,"CAD | BTC | NANO | ADA | LTC"
"MXN","Mexico Peso",1584.7281959777044,"CAD | USD | MXN"
"NANO","Nano",15.288654054086743,"CAD | BTC | NANO"
"NOK","Norway Kroner",694.140296776346,"CAD | EUR | GBP | NOK"
"NZD","New Zealand Dollar",111.98505275529304,"CAD | EUR | NZD"
"PHP","Philippines Peso",4056.291745744302,"CAD | USD | CNY | HKD | PHP"
"SAR","Saudi Arabia Riyal",298.6720408113261,"CAD | USD | SAR"
"SDG","Sudan Pound",35220.425135507656,"CAD | USD | SAR | SDG"
"SEK","Sweden Krona",699.6673249907318,"CAD | EUR | GBP | NOK | SEK"
"SGD","Singapore Dollar",105.90945716162646,"CAD | USD | CNY | HKD | PHP | KRW | SGD"
"THB","Thailand Baht",2618.6010638315747,"CAD | USD | CNY | HKD | PHP | KRW | SGD | THB"
"TND","Tunisia Dinar",223.46091091955122,"CAD | USD | SAR | UYU | TND"
"TRY","Turkish New Lira",689.0708811682521,"CAD | EUR | GBP | NOK | SEK | TRY"
"TTD","Trinidad/Tobago Dollar",541.9281987470331,"CAD | BRL | TTD"
"USD","USA Dollar",79.31478672967081,"CAD | USD"
"UYU","Uruguay Peso",3413.8463243262795,"CAD | USD | SAR | UYU"
"VND","Vietnam Dong",1842967.6664215813,"CAD | USD | CNY | HKD | VND"
